qtpy/Qt3DAnimation.py          ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/Qt3DCore.py               ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/Qt3DExtras.py             ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/Qt3DInput.py              ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/Qt3DLogic.py              ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/Qt3DRender.py             ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtAxContainer.py          ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtBluetooth.py            ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtCharts.py               ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtConcurrent.py           ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtCore.py                 ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtDataVisualization.py    ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtDBus.py                 ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtDesigner.py             ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtGui.py                  ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtHelp.py                 ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtLocation.py             ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtMacExtras.py            ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtMultimedia.py           ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
qtpy/QtMultimediaWidgets.py    ['PYQT5:', 'PYQT6:', 'PYSIDE2:', 'PYSIDE6:']
